subjID,SPM_image,SPM_file_t,SPM_file_c,FS_image,FS_file_lh,FS_file_rh,LH_SN_spcorr,RH_SN_spcorr,LH_SN_volume,RH_SN_volume,LH_SN_ES,RH_SN_ES,Lateralization_volume,Lateralization_ES,Lateralization
sub673,SPM_images/sub673.png,SPM_files/sub673_spmT.nii,SPM_files/sub673_con.nii,FS_images/sub673.png,FS_files/sub673/lh_sig.nii.gz,FS_files/sub673/rh_sig.nii.gz,1.210720167,0.721356167,1871,623,1.173533,0.340553833,0.500400962,0.832979167,left-lat
sub674,SPM_images/sub674.png,SPM_files/sub674_spmT.nii,SPM_files/sub674_con.nii,FS_images/sub674.png,FS_files/sub674/lh_sig.nii.gz,FS_files/sub674/rh_sig.nii.gz,1.241308833,0.644094833,1459,8,1.576720833,-0.171896,0.989093388,1.748616833,left-lat
sub675,SPM_images/sub675.png,SPM_files/sub675_spmT.nii,SPM_files/sub675_con.nii,FS_images/sub675.png,FS_files/sub675/lh_sig.nii.gz,FS_files/sub675/rh_sig.nii.gz,0.952695333,0.603398333,2439,909,1.7942955,0.835640333,0.456989247,0.958655167,left-lat
sub676,SPM_images/sub676.png,SPM_files/sub676_spmT.nii,SPM_files/sub676_con.nii,FS_images/sub676.png,FS_files/sub676/lh_sig.nii.gz,FS_files/sub676/rh_sig.nii.gz,0.271213333,-0.065204167,128,51,0.232119667,0.065347667,0.430167598,0.166772,bi-lat
sub677,SPM_images/sub677.png,SPM_files/sub677_spmT.nii,SPM_files/sub677_con.nii,FS_images/sub677.png,FS_files/sub677/lh_sig.nii.gz,FS_files/sub677/rh_sig.nii.gz,0.9950385,0.404207333,1610,124,0.720026833,-0.084147833,0.856978085,0.804174667,left-lat
sub678,SPM_images/sub678.png,SPM_files/sub678_spmT.nii,SPM_files/sub678_con.nii,FS_images/sub678.png,FS_files/sub678/lh_sig.nii.gz,FS_files/sub678/rh_sig.nii.gz,0.880858667,0.461265,621,6,0.5939055,-0.021574167,0.980861244,0.615479667,left-lat
sub679,SPM_images/sub679.png,SPM_files/sub679_spmT.nii,SPM_files/sub679_con.nii,FS_images/sub679.png,FS_files/sub679/lh_sig.nii.gz,FS_files/sub679/rh_sig.nii.gz,0.6179175,0.121208333,1917,251,1.0896815,0.14359,0.768450185,0.9460915,left-lat
sub680,SPM_images/sub680.png,SPM_files/sub680_spmT.nii,SPM_files/sub680_con.nii,FS_images/sub680.png,FS_files/sub680/lh_sig.nii.gz,FS_files/sub680/rh_sig.nii.gz,1.0523975,0.389834,1734,171,1.106104333,0.184858833,0.820472441,0.9212455,left-lat
sub681,SPM_images/sub681.png,SPM_files/sub681_spmT.nii,SPM_files/sub681_con.nii,FS_images/sub681.png,FS_files/sub681/lh_sig.nii.gz,FS_files/sub681/rh_sig.nii.gz,1.084130667,0.425189,2102,387,1.368877,0.276042667,0.68903174,1.092834333,left-lat
sub682,SPM_images/sub682.png,SPM_files/sub682_spmT.nii,SPM_files/sub682_con.nii,FS_images/sub682.png,FS_files/sub682/lh_sig.nii.gz,FS_files/sub682/rh_sig.nii.gz,1.173427667,0.7253515,2308,641,1.626035667,0.826751333,0.565276365,0.799284333,left-lat
sub683,SPM_images/sub683.png,SPM_files/sub683_spmT.nii,SPM_files/sub683_con.nii,FS_images/sub683.png,FS_files/sub683/lh_sig.nii.gz,FS_files/sub683/rh_sig.nii.gz,1.180477667,0.7478235,1414,466,1.096954833,0.480738833,0.504255319,0.616216,left-lat
sub684,SPM_images/sub684.png,SPM_files/sub684_spmT.nii,SPM_files/sub684_con.nii,FS_images/sub684.png,FS_files/sub684/lh_sig.nii.gz,FS_files/sub684/rh_sig.nii.gz,1.145601833,0.665176833,3105,1465,1.7221705,0.815646167,0.358862144,0.906524333,left-lat
